event_identity,pub_identity,event_day,event_detail,event_type
334b7c33-21e0-4e72-9bff-4963f076e3a3,0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,thursday,7.30pm,quiz
62902865-ec7a-465a-adf4-e5a6b588824a,0070a010-95c5-494b-878f-47bcae4be933,sunday,closed,hours
fcb812ef-cc3a-4a1b-852f-65bd315f7ba1,008849b1-87fd-4453-90f8-9b0089e78063,friday,,
346b7b0d-cffe-4445-81d8-325d3d979925,008849b1-87fd-4453-90f8-9b0089e78063,monday,Ukelele jamming,music
c872c181-e9cf-469c-853a-169c4af0aaa3,008849b1-87fd-4453-90f8-9b0089e78063,saturday,,
7b7ec592-b4aa-4ac1-9139-009458b8ade7,008849b1-87fd-4453-90f8-9b0089e78063,sunday,Live folk music,music
69870b53-1a3f-4317-a85e-c8591d56efaf,008849b1-87fd-4453-90f8-9b0089e78063,thursday,Live piano,music
86b0fb3d-70cf-401c-82a9-e86b879de9dc,008849b1-87fd-4453-90f8-9b0089e78063,tuesday,Irish music,music
ac9f2a68-9d72-423f-8ead-146e223db4f8,008849b1-87fd-4453-90f8-9b0089e78063,wednesday,,
048aea51-16ef-43d0-a5f8-f5e6c78dbaf5,01e4fc21-05fd-4289-aa17-8b6f1ecbaff1,monday,8pm,quiz
053f0c70-2ee4-4a93-9c4b-c7ff0bf8d90a,0252299e-ca2a-4dad-941f-c48bd96d99b6,tuesday,7.30pm,quiz
f133f6b0-5006-4ad5-978f-c083cc4c6028,027f706e-bd89-4b8e-861e-c9b0f3c21779,friday,Jazz brunch,music
d8ebd6af-c1bd-488e-abf9-e79995c51195,027f706e-bd89-4b8e-861e-c9b0f3c21779,monday,Jazz brunch,music
e64ded00-48ca-419b-b3d7-a919d9178db3,027f706e-bd89-4b8e-861e-c9b0f3c21779,saturday,Jazz brunch,music
1d3f5327-6f23-4e6e-a4ee-57eb999a9bf1,027f706e-bd89-4b8e-861e-c9b0f3c21779,thursday,Jazz brunch,music
ff8a8488-f7a9-4bf7-9b62-b23727a9b424,027f706e-bd89-4b8e-861e-c9b0f3c21779,tuesday,Jazz brunch,music
fdc16816-9281-4dc2-8c49-8312a55a9894,027f706e-bd89-4b8e-861e-c9b0f3c21779,wednesday,Jazz brunch,music
e5613101-b7de-4dc9-8f22-9f3b782be278,02d0238e-4c9e-4b8b-a3d7-75932572cd2b,friday,11pm,music
e247c269-0d2f-470a-a1d1-faeed0d647e2,02d0238e-4c9e-4b8b-a3d7-75932572cd2b,monday,8pm,quiz
624fbc15-38a4-40f2-a2f9-04637912572d,02d0238e-4c9e-4b8b-a3d7-75932572cd2b,saturday,11pm,music
4ead140d-fbcb-4b36-a5db-1ca0a57e9abd,030c2476-0498-4cdf-8368-5a55a1e8f902,friday,,music
1eac0351-b72f-47a2-8463-21239eb34524,030c2476-0498-4cdf-8368-5a55a1e8f902,monday,Closed,hours
03749296-3750-4939-9ca3-2a4b70b613c3,030c2476-0498-4cdf-8368-5a55a1e8f902,sunday,,music
54e33f01-1d65-4f58-97c7-e54ad5370049,030c2476-0498-4cdf-8368-5a55a1e8f902,tuesday,closed,hours
9446f52f-f94d-4288-a96c-5b9201ac622d,030c2476-0498-4cdf-8368-5a55a1e8f902,wednesday,Closed,hours
17f5f9bf-5eea-417f-b7b5-aabb93b80ed9,034f929e-3ec9-4e3d-b7aa-ecaf4ecab4a7,wednesday,7pm,quiz
d4a0516f-8c21-4257-bd3a-f1f8da417056,038b9ae5-c670-4797-ae52-571c8eea95f1,monday,Closed,hours
9e7e8ba0-8640-4ddb-9482-85cb056e1489,038b9ae5-c670-4797-ae52-571c8eea95f1,sunday,Closed,hours
f87adf09-a766-4e80-afc3-5b343c6bd266,039eff8c-6227-49b2-be8a-36126274addf,thursday,8pm,quiz
9a91c6c1-3783-4278-a5c6-ec90437cb315,04738700-75a2-4d5c-864d-de41c81995db,sunday,Live jazz,music
449aa555-1504-4558-a7e1-aba28a6721ec,04738700-75a2-4d5c-864d-de41c81995db,tuesday,7pm,quiz
3b0efa92-4713-4bab-9b25-5837c2b7460f,04ea139a-05b9-42ee-8bd0-3f3271c750e1,monday,Bingo,entertain
b8917737-098c-4d26-bfee-88fcf9b9d17f,05493a89-5d8f-407c-b5ca-d269f6d5af55,saturday,Noon,brunch
c2a1d999-5431-4bea-8541-edd97b8f928c,05f4d08e-e2cc-4597-9964-96bc3fd9c799,monday,Closed,hours
43ab5a37-efa5-4735-b1fe-210d4fdcc141,05f4d08e-e2cc-4597-9964-96bc3fd9c799,saturday,,music
e6ea86ea-aa69-4df0-97a3-f757d4e8b55f,060e9c82-2b9f-4547-bd1e-eb313934bc6b,thursday,7.30pm,quiz
b15cbdb6-75b0-4771-b4aa-b6c4c583fd12,06d84519-d68f-4037-a943-fb10361b023d,wednesday,8pm,quiz
18c50969-e63a-4f93-947a-6d37ac28fcc8,06e2e2ca-8d55-41ac-bf73-855d9019d6f1,monday,Closed,hours
398c6cad-b94b-4725-ad42-bce6f6292ff3,06e2e2ca-8d55-41ac-bf73-855d9019d6f1,tuesday,Closed,hours
98c71b65-c6e4-406d-8d3a-7ff4786498e1,0748c729-9d48-488a-b224-f6bcec262442,tuesday,8pm,quiz
5fb15e13-cea8-4e35-9c11-30daa6dd5fa0,07cb0b23-2f4a-4ad6-9425-61afba597d59,monday,closed,hours
e99d5fee-a871-430c-8d87-add83fe50f6d,07cb0b23-2f4a-4ad6-9425-61afba597d59,tuesday,closed,hours
b8bf5621-ce94-4a1a-927d-cd8b9b51c4a4,07cb0b23-2f4a-4ad6-9425-61afba597d59,wednesday,closed,hours
da8b2d0a-8483-41e5-b7e4-11a3205a14cb,09e133c1-5f81-4792-bbad-8cb3e30d75f7,monday,closed,hours
36957e16-4718-49f4-9df8-9745f2b80aae,0a0b64ce-badb-49b7-b4e6-2a725d564598,friday,DJs,dj
efe7decb-8081-4536-bc0b-737b3e4ff350,0a0b64ce-badb-49b7-b4e6-2a725d564598,saturday,DJs,dj
a190fb2a-957e-4a9c-919e-230e651a6496,0a0b64ce-badb-49b7-b4e6-2a725d564598,sunday,8pm,quiz
deba1eb1-b6f7-4829-847d-5fa516abd56e,0a0b64ce-badb-49b7-b4e6-2a725d564598,tuesday,board games,entertain
2506c1b4-57b4-4d45-805c-f29463b5e123,0a8a43f0-000e-4a88-9874-d13926e71eed,thursday,7.30pm,quiz
1584ef21-c092-47f8-8c88-682a2189d509,0b1ef52c-4497-4de4-b606-305b2ee1911e,saturday,,music
12546b06-bf04-4378-83cd-f88289e5a537,0b1ef52c-4497-4de4-b606-305b2ee1911e,wednesday,,quiz
e025841a-c7c9-402b-809b-6992a019efaa,0d0566ca-beb3-41be-8a22-5415fcf79d43,saturday,comedy,comedy
797a3efd-0fad-4f28-84cb-8cee84058d38,0d0566ca-beb3-41be-8a22-5415fcf79d43,sunday,comedy,comedy
b839c4aa-63e4-4d76-8e1d-9fd0d4f259f8,0d0566ca-beb3-41be-8a22-5415fcf79d43,tuesday,comedy,comedy
3fa63925-b21c-461f-9661-0b31a022af19,0d4dd558-590d-4046-a40d-87b1475fb44a,tuesday,7.30pm,quiz
e5019441-cb0b-4fea-9daa-2897ceacda11,0f955e0b-e77a-4a59-8c8d-3297abca1313,sunday,,music
cc9a81b6-4a0b-4035-ade0-feee7916e6a1,0f955e0b-e77a-4a59-8c8d-3297abca1313,tuesday,,quiz
007360fd-1710-4e0c-947a-1a25a9f8b74e,111a75e9-2d09-486a-a54e-5992dbc2eca0,monday,closed,hours
3467c824-bff9-4cd2-8c17-1c731ad32f4f,111a75e9-2d09-486a-a54e-5992dbc2eca0,tuesday,closed,hours
50203933-01bf-4f98-8d24-8b89ea02c7c3,11e6a9b3-c9bb-4074-99b3-ac719ffcd1ff,monday,closed,hours
cc8ba32d-ca19-4d60-9f68-b01f3beac62f,12a39cf2-449c-4e3e-b7ca-40622cf386aa,tuesday,7.30pm,quiz
bae818c4-0518-4fe6-a766-5fa3b433d11e,12b05c98-b08f-4df2-850e-76180a358f48,thursday,Steak night,entertain
0c0cba6c-5021-4bb1-ae69-c82b54f0836e,13177ee7-67ff-42b4-8bd1-4c1f7a91598f,monday,comedy,comedy
083c72e4-7887-4760-b127-dfe5f209e406,13177ee7-67ff-42b4-8bd1-4c1f7a91598f,wednesday,8pm,quiz
f6c7929d-2b46-4176-8945-de6de82e9a85,143ea7fa-72e7-47a9-b034-8f95a5465e62,sunday,7.30pm,quiz
73fdfef1-5da5-4a86-a717-1ab3f05ba109,144c41db-e6f0-4b3f-b6d1-5b6b5b2e5fcb,thursday,7.30pm,quiz
ab365927-7698-4e51-872f-c4c893b71952,1496934f-16e7-4848-b686-504957119989,friday,,music
0ccc0577-475f-487d-a327-fc2beb47f85b,1496934f-16e7-4848-b686-504957119989,saturday,,music
0a2e84dc-5b82-4e34-81d7-66ea58925fd7,1496934f-16e7-4848-b686-504957119989,thursday,,music
09020c5e-156b-4eb1-bfe1-c6840b971c91,15ea92fa-f9d6-43b6-b2aa-3d58139d18fe,sunday,closed,hours
cb100b87-3202-4028-8b18-846195765a4b,1605a183-1c79-44a6-905a-aab6d109bfbf,monday,closed,hours
ad3975ab-4ac4-4e63-ad27-4e086e7f3dfe,1605a183-1c79-44a6-905a-aab6d109bfbf,tuesday,closed,hours
7dba7385-9ba2-4eb6-993a-085b2382504b,162dd12d-330c-429f-a3e1-12661ebfb5c7,wednesday,8.30pm,quiz
795e8c32-4042-487d-844a-309b3c06efac,1add98b7-8cca-4c6e-9a8a-a35e3b4e41ec,monday,8.30pm,quiz
b89468f9-788e-4efc-bdf4-98161c370ab7,1b463e1c-9190-4275-a39c-d694eb42d636,sunday,closed,hours
6853b577-f215-4dea-a7b5-9423b6bad22f,1c199a57-3098-4df8-bdac-264d8eab6968,tuesday,,quiz
1fa6d601-ae2b-4047-a8aa-7083d93f2e6c,1cd0e488-6da9-4d70-82b2-8078b23d674b,monday,closed,hours
59a9f42e-ce2b-4166-a1bd-6cedfb066459,1f0559e7-d494-4404-8d53-e093ba2091b6,monday,closed,hours
df15f110-52e7-4b13-9a26-d1ad1a8ffac0,1f0559e7-d494-4404-8d53-e093ba2091b6,sunday,,music
66f76615-579e-46e2-b6c2-9d5077de28db,20a2785f-94a0-474f-ac6b-284bd9366bf7,thursday,Bingo,entertain
508630d1-1c55-4382-9e2a-b1a8c0638968,20a2785f-94a0-474f-ac6b-284bd9366bf7,wednesday,7.30pm,quiz
5d411b30-ddbd-475c-830f-89b6694ccbbe,22646d9c-ddb7-4170-86d6-d54993e70a20,monday,closed,hours
e90b707f-0569-4aa3-a12c-87ccc11a52c8,23a49eca-7ba3-4e8e-acc1-24a6ef5bb145,wednesday,7.30pm,quiz
16b84ce3-0c68-4aa4-bd9a-f4735c42a2ac,24f5f284-5c7b-41cf-bcec-56e7db601464,wednesday,,quiz
3e3f3959-44b9-4795-b31d-b7ed738330be,25778f10-deeb-4cbb-a724-52493a571301,tuesday,,quiz
e62060ab-0c02-486c-ab48-d68cae45ce8f,2690523e-72c8-42b2-be66-91a61c5ecdb8,friday,DJs,dj
22c572c8-86d9-4b3b-8393-a700cce427cd,2690523e-72c8-42b2-be66-91a61c5ecdb8,saturday,DJs,dj
c53b4fac-4ed9-445f-a726-904bf03b262e,2690523e-72c8-42b2-be66-91a61c5ecdb8,thursday,Cocktail class,entertain
f2396847-1140-445f-9a9d-df8dfd30b46c,273730d6-1943-4988-a03c-636b744e477e,monday,closed,hours
39d27bde-1c0b-43ef-b621-d91141fa3292,2adfb24e-f964-4a76-8c4f-799f7c704096,sunday,Open mic night,comedy
638710de-7416-42b7-9615-df8ca21064b4,2b99f168-e63b-445e-a7dc-7f8bf76da331,sunday,7pm,quiz
2c2dcbd8-f2ec-4187-9cd6-fb14194b5a80,2cd9035f-af04-41dd-b63c-f47b75c90a8f,wednesday,7.30pm,quiz
b605b096-38d0-43f4-b19f-fdb8b949a389,2dbf12b8-120a-46fd-ab1a-d1bb0a6ea778,sunday,7.30pm,quiz
4708fd3d-67d0-4247-87ae-741976209522,2ee54ca1-e1cf-4d1f-bc86-89c2136cbeae,tuesday,8pm,quiz
72f9c28d-cce8-49d5-9f53-99e58471bb50,30076bbc-f118-4716-a74c-156b7ec256a5,friday,,music
9a129835-77ca-4362-86d9-b55d02ea7489,30076bbc-f118-4716-a74c-156b7ec256a5,monday,,quiz
399d4970-e53e-4b1b-b904-95d1a9e23708,30076bbc-f118-4716-a74c-156b7ec256a5,saturday,,music
b6f4c415-1a66-4c13-8b92-7373c28db5b0,30076bbc-f118-4716-a74c-156b7ec256a5,sunday,,music
f3951a4d-caaa-4c8f-8cf4-3a4b4e7f1450,30076bbc-f118-4716-a74c-156b7ec256a5,thursday,,music
ac29a7c1-f381-46db-afac-35f90e36dfee,30076bbc-f118-4716-a74c-156b7ec256a5,wednesday,,music
9929a83b-7457-459d-95c8-9c2a7f3a0a69,3058f233-ea9e-4eb7-98cb-68dda69d344d,tuesday,1st tuesday of the month,quiz
a3e9e5ee-bc29-48cd-b280-2d9bdb685da6,31578bef-e1d2-4852-a548-beda55ab792c,monday,7.30pm,quiz
4efb4251-6e3a-460f-8811-243a2feb6275,31578bef-e1d2-4852-a548-beda55ab792c,tuesday,board games,entertain
93bf6ace-d77a-44a9-8864-2dd1fd10ac11,31578bef-e1d2-4852-a548-beda55ab792c,wednesday,7pm Live folk music,music
6a0a4bcb-f555-433d-a560-6d4a2cae6afc,31661734-bb83-4bf4-8c68-0b7afd4f8d48,thursday,7.30pm,quiz
d27921bb-09a1-4277-85bd-e745ba2a37fa,3227e6fa-c80b-44d7-abb9-2b8c5d9dc817,tuesday,7.30pm,quiz
12d68ec4-502f-4a0a-8ffd-27aa3c004046,34309755-2f23-4ca1-9364-121e9c9c13cb,sunday,7pm,quiz
996cb447-da83-492c-885f-51d32238406a,350d77be-b4c5-4984-ab2f-6d2de41415e0,monday,7.30pm,quiz
d090ed6b-5f33-4300-8642-cc5494760127,35ce64f3-76a5-4b65-a8a8-88324cbb95a0,saturday,,music
53aa0f9f-4cef-4edb-a519-d3a60bc202b0,35ce64f3-76a5-4b65-a8a8-88324cbb95a0,sunday,,music
d1e2dd9a-2463-4026-ba70-4e6786a1d907,35ce64f3-76a5-4b65-a8a8-88324cbb95a0,thursday,,music
735fe32f-64e3-4114-a7d4-e9d7c04b07ba,35ce64f3-76a5-4b65-a8a8-88324cbb95a0,tuesday,8.30pm,quiz
0135136e-d48c-490b-a36c-ea59f8dedead,365a5ea5-03c6-4caa-8424-7a33339d0642,thursday,Jazz,music
20d73d9e-abf3-451c-bbbb-c790c7cf77eb,36f830c1-9a7a-481a-a77e-18c2d9ee15ac,friday,Karaoke,karaoke
c1dcfabe-c120-4210-9114-091e14ce3760,36f830c1-9a7a-481a-a77e-18c2d9ee15ac,sunday,Games night,entertain
5316b08c-f792-491d-b381-442617735f35,36f830c1-9a7a-481a-a77e-18c2d9ee15ac,tuesday,Poker night,entertain
3398dec7-e399-42f8-88de-b1a516c4d844,36f830c1-9a7a-481a-a77e-18c2d9ee15ac,wednesday,Darts competition,entertain
aedba1dd-ec39-4df5-9c79-1c4e6c712b52,376cd451-32f0-4895-8f0e-ce61fb413b6d,monday,9pm,quiz
d9d52d68-a99b-4660-89d0-1993393a320a,3993b00b-0847-4431-9392-ff60a69e1074,wednesday,7.30pm 1st/3rd wednesday of the month,quiz
ecc92348-080a-4212-b39c-115305ddabde,3b57f89c-3f4b-4557-8410-ddaa82637220,friday,,music
1fff233f-0aae-4515-940d-3037fe455415,3b57f89c-3f4b-4557-8410-ddaa82637220,saturday,,music
d4560605-25dc-4dc4-b12b-bbddd74188ad,3b57f89c-3f4b-4557-8410-ddaa82637220,sunday,closed,hours
71d5a4fb-8483-4928-930e-d7fe81487cf2,3c0e13d2-57f5-4e20-85da-8c49873b9224,friday,free beer,entertain
